#separator:tab
#html:true
#notetype:Basic
#deck:00 Reading Room::01 Medical Terms
#tags:medical-word-parts
#columns:Front	Back
fus-	<i>Latin</i><br>to pour (from fundere, past participle fusus)<br><span class="examples">e.g. infusion, transfusion, diffusion</span><br>🎭 The chef pours boiling water to infuse the tea leaves.
-ion	<i>Latin</i><br>act, process, or state of (noun-forming suffix, from -io/-ionis)<br><span class="examples">e.g. infusion, transfusion, diffusion</span><br><hr><b>mnemonic:</b><br>🎭 The tea's slow infusion becomes a soothing evening ritual.<br>🎭 After the transfusion, her blood count reached a stable state.<br>🎭 Diffusion spreads the perfume until every corner smells it.
chem-	<i>Greek</i><br>chemical (from khēmeia/khymeia, "alchemy" — ultimate origin disputed, possibly from khyma "that which is poured" or Egyptian kēme "black land"; the meaning "chemical(s)" is a modern medical narrowing of this uncertain-etymology root)<br><span class="examples">e.g. chemotherapy, chemistry, biochemistry</span><br><hr><b>mnemonic:</b><br>🎭 The chemistry teacher mixed chemicals until the beaker fizzed.<br>🎭 Chemotherapy drips chemicals slowly into the patient's vein.<br>🎭 Biochemistry students test chemical reactions in every lab session.
-therapy	<i>Greek</i><br>treatment (from therapeia, "medical/surgical treatment, cure")<br><span class="examples">e.g. chemotherapy, radiotherapy, physiotherapy</span><br><hr><b>mnemonic:</b><br>🎭 The physiotherapist bends my knee, treating the torn ligament.<br>🎭 Radiotherapy treats the tumor with focused beams of radiation.<br>🎭 Chemotherapy treats the cancer with carefully dosed chemicals.
thalass-	<i>Greek</i><br>sea<br><span class="examples">e.g. thalassaemia</span><br><hr><b>mnemonic:</b><br>🎭 The lass sailed across the endless blue sea.<br>🎭 Thalassa is the ancient Greek goddess of the sea.<br>🎭 Sailors chart every current across the deep open sea.
haem-	<i>Greek</i><br>blood<br><span class="examples">e.g. haemoglobin, hemolysis, anaemia</span><br><hr><b>mnemonic:</b><br>🎭 Haemoglobin carries oxygen through every drop of blood.<br>🎭 Hemolysis breaks the blood cells apart, spilling red color.<br>🎭 Anaemia means her blood carries too little oxygen.
hemat-	<i>Greek</i><br>blood (same root as haem-, different spelling shape — used before a vowel/combining form)<br><span class="examples">e.g. hematology, hematoma, hematuria</span><br><hr><b>mnemonic:</b><br>🎭 A hematoma forms when blood pools beneath the bruised skin.<br>🎭 Hematuria turns her urine red with traces of blood.<br>🎭 The hematologist studies blood diseases under the microscope daily.
-ia	<i>Greek</i><br>condition of<br><span class="examples">e.g. anemia, hypothermia</span><br><hr><b>mnemonic:</b><br>🎭 Hypothermia is the condition of a dangerously cold body.<br>🎭 Anemia is the condition of having too little iron.<br>🎭 The hiker's hypothermia set in after hours in snow.
-glob-	<i>Latin</i><br>sphere, ball<br><span class="examples">e.g. haemoglobin, globulin</span><br><hr><b>mnemonic:</b><br>🎭 Haemoglobin molecules fold into a tiny round ball.<br>🎭 Globulin proteins clump together like small spherical clusters.<br>🎭 The globe on his desk is a perfect sphere.
-in	<i>Latin</i><br>substance/protein<br><span class="examples">e.g. haemoglobin, insulin, fibrin</span><br><hr><b>mnemonic:</b><br>🎭 Insulin is a substance the pancreas releases into blood.<br>🎭 Fibrin forms a mesh, the protein substance of clots.<br>🎭 Haemoglobin is the protein substance packed inside red cells.
-limus	<i>INN stem</i><br>mTOR/calcineurin-pathway immunosuppressant<br><span class="examples">e.g. tacrolimus, sirolimus, everolimus</span><br><hr><b>mnemonic:</b><br>🎭 Tacrolimus makes the immune system go limp and quiet.<br>🎭 Sirolimus leaves attacking immune cells feeling limp and weak.<br>🎭 Everolimus keeps the transplanted organ safe, immune cells limp.<br>🎭 Lee's Optimus stands down, then his immune system quiets.
apo-	<i>Greek</i><br>away, off<br><span class="examples">e.g. apheresis, apoptosis</span><br><hr><b>mnemonic:</b><br>🎭 Apheresis separates plasma away, then returns your own blood.<br>🎭 In apoptosis, a damaged cell shuts itself off forever.<br>🎭 The technician draws plasma away during a long apheresis session.
dia-	<i>Greek</i><br>through, across, apart<br><span class="examples">e.g. diaeresis, dialysis, diagnosis, diarrhea</span><br>🎭 Dialogue between them continued throughout the night.
hair-	<i>Greek</i><br>to take, seize (root of hairein/hairesis; fuses with apo- and its vowel contracts away, so the English medical spelling is apheresis, not "ap-hair-esis")<br><span class="examples">e.g. apheresis, diaeresis</span><br>🎭 Hair was taken, but he ran away with a bald pate.
-esis	<i>Greek</i><br>process, action of<br><span class="examples">e.g. apheresis, diuresis, diaeresis</span><br><hr><b>mnemonic:</b><br>🎭 Diuresis is the process of producing extra urine fast.<br>🎭 Apheresis is the process of filtering blood outside the body.<br>🎭 Diaeresis marks the process of pronouncing two vowels apart.<br>🎭 A bee stings sis, starting the healing process.
lymph-	<i>Latin</i><br>clear water, lymph fluid<br><span class="examples">e.g. lymphoma, lymphocyte, lymphatic</span><br><hr><b>mnemonic:</b><br>🎭 The lymph fluid ran clear as glass through her swollen node.<br>🎭 Nurses watched clear lymph fluid drain from the swollen node.<br>🎭 Clear lymph seeped from the wound like watery sap.
-oma	<i>Greek</i><br>tumor, mass, swelling<br><span class="examples">e.g. lymphoma, carcinoma, sarcoma, myeloma</span><br><hr><b>mnemonic:</b><br>🎭 The tumor mass grew so big he slipped into a coma.<br>🎭 Grandma felt the swelling mass and named it her tumor.<br>🎭 The diploma-sized tumor mass sat heavy on the scan.<br>🎭 The Oklahoma rancher discovered a tumor on his cow.
myel-	<i>Greek</i><br>marrow (bone marrow — cf. spinal cord sense in myelitis, myelopathy)<br><span class="examples">e.g. myeloma, myeloid, myelogenous</span><br><hr><b>mnemonic:</b><br>🎭 My elbow's bone marrow ached after the donation.<br>🎭 Miley donated her bone marrow to save a stranger.<br>🎭 My elders always said marrow keeps your bones strong.
hydro-	<i>Greek</i><br>water<br><span class="examples">e.g. hydrophobic, hydrophilic, hydrology</span><br><hr><b>mnemonic:</b><br>🎭 Firefighters flood the yard using the water hydrant.<br>🎭 The hydro plant pumps river water to spin turbines.<br>🎭 Campers filled their bottles with cold spring water.
-phob-	<i>Greek</i><br>fear, aversion<br><span class="examples">e.g. hydrophobic, claustrophobia, xenophobia</span><br><hr><b>mnemonic:</b><br>🎭 Ghost in a robe fills her with fear.
-ic	<i>Greek</i><br>pertaining to (like "pertain" itself: per- "through" + -tain "hold" — a connection that holds through to something, i.e. stays linked/relevant to it)<br><span class="examples">e.g. hydrophobic, toxic, acidic, pedagogical, allogeneic, cytotoxic</span><br>🎭 Click "agree" — this protection pertains to you.
